地块,地块类型,年,季,作物编号,作物名称,种植面积(亩)
E3,普通大棚,2030,第二季,38,榆黄菇,0.6
E4,普通大棚,2030,第二季,40,白灵菇,0.6
E5,普通大棚,2030,第二季,40,白灵菇,0.6
E6,普通大棚,2030,第二季,40,白灵菇,0.6
F1,智慧大棚,2030,第二季,29,黄瓜,0.6
F2,智慧大棚,2030,第二季,29,黄瓜,0.6
E7,普通大棚,2030,第二季,41,羊肚菌,0.6
E8,普通大棚,2030,第二季,41,羊肚菌,0.6
E9,普通大棚,2030,第二季,41,羊肚菌,0.6
E10,普通大棚,2030,第二季,41,羊肚菌,0.6
E11,普通大棚,2030,第二季,41,羊肚菌,0.6
E12,普通大棚,2030,第二季,41,羊肚菌,0.6
E13,普通大棚,2030,第二季,41,羊肚菌,0.6
E14,普通大棚,2030,第二季,39,香菇,0.6
E15,普通大棚,2030,第二季,39,香菇,0.6
E16,普通大棚,2030,第二季,39,香菇,0.6
F3,智慧大棚,2030,第二季,32,空心菜,0.6
F4,智慧大棚,2030,第二季,22,茄子,0.6
D1,水浇地,2030,第一季,22,茄子,15.0
D2,水浇地,2030,第一季,17,豇豆,10.0
D3,水浇地,2030,第一季,17,豇豆,14.0
D4,水浇地,2030,第一季,26,包菜,6.0
D5,水浇地,2030,第一季,27,油麦菜,10.0
D6,水浇地,2030,第一季,19,芸豆,12.0
D7,水浇地,2030,第一季,28,小青菜,22.0
D8,水浇地,2030,第一季,21,西红柿,20.0
A2,平旱地,2030,第一季,13,红薯,55.0
A1,平旱地,2030,第一季,11,荞麦,80.0
A3,平旱地,2030,第一季,10,黍子,35.0
A4,平旱地,2030,第一季,9,高粱,72.0
A5,平旱地,2030,第一季,2,黑豆,68.0
B2,梯田,2030,第一季,12,南瓜,46.0
A6,平旱地,2030,第一季,3,红豆,55.0
B1,梯田,2030,第一季,7,玉米,60.0
B3,梯田,2030,第一季,7,玉米,40.0
B4,梯田,2030,第一季,7,玉米,28.0
B5,梯田,2030,第一季,7,玉米,25.0
B6,梯田,2030,第一季,5,爬豆,86.0
B7,梯田,2030,第一季,6,小麦,55.0
B8,梯田,2030,第一季,6,小麦,44.0
B9,梯田,2030,第一季,6,小麦,50.0
B10,梯田,2030,第一季,6,小麦,25.0
B11,梯田,2030,第一季,6,小麦,60.0
B12,梯田,2030,第一季,8,谷子,45.0
B13,梯田,2030,第一季,8,谷子,35.0
B14,梯田,2030,第一季,8,谷子,20.0
C1,山坡地,2030,第一季,8,谷子,15.0
C2,山坡地,2030,第一季,8,谷子,13.0
C3,山坡地,2030,第一季,8,谷子,15.0
C4,山坡地,2030,第一季,8,谷子,18.0
C5,山坡地,2030,第一季,8,谷子,27.0
C6,山坡地,2030,第一季,8,谷子,20.0
