地块,地块类型,年,季,作物编号,作物名称,种植面积(亩)
C3,山坡地,2029,第一季,11,荞麦,15.0
C4,山坡地,2029,第一季,11,荞麦,18.0
C5,山坡地,2029,第一季,11,荞麦,27.0
C6,山坡地,2029,第一季,11,荞麦,20.0
E1,普通大棚,2030,第二季,38,榆黄菇,0.6
E2,普通大棚,2030,第二季,38,榆黄菇,0.6
E3,普通大棚,2030,第二季,38,榆黄菇,0.6
E4,普通大棚,2030,第二季,38,榆黄菇,0.6
E5,普通大棚,2030,第二季,38,榆黄菇,0.6
E6,普通大棚,2030,第二季,38,榆黄菇,0.6
E7,普通大棚,2030,第二季,38,榆黄菇,0.6
E8,普通大棚,2030,第二季,38,榆黄菇,0.6
E9,普通大棚,2030,第二季,38,榆黄菇,0.6
E10,普通大棚,2030,第二季,38,榆黄菇,0.6
E11,普通大棚,2030,第二季,38,榆黄菇,0.6
E12,普通大棚,2030,第二季,38,榆黄菇,0.6
E13,普通大棚,2030,第二季,38,榆黄菇,0.6
E14,普通大棚,2030,第二季,38,榆黄菇,0.6
E15,普通大棚,2030,第二季,38,榆黄菇,0.6
E16,普通大棚,2030,第二季,38,榆黄菇,0.6
F1,智慧大棚,2030,第二季,29,黄瓜,0.6
F2,智慧大棚,2030,第二季,29,黄瓜,0.6
F3,智慧大棚,2030,第二季,29,黄瓜,0.6
F4,智慧大棚,2030,第二季,29,黄瓜,0.6
D1,水浇地,2030,第一季,29,黄瓜,15.0
D2,水浇地,2030,第一季,29,黄瓜,10.0
D3,水浇地,2030,第一季,29,黄瓜,14.0
D4,水浇地,2030,第一季,29,黄瓜,6.0
D5,水浇地,2030,第一季,29,黄瓜,10.0
D6,水浇地,2030,第一季,29,黄瓜,12.0
D7,水浇地,2030,第一季,29,黄瓜,22.0
D8,水浇地,2030,第一季,29,黄瓜,20.0
A1,平旱地,2030,第一季,13,红薯,80.0
A2,平旱地,2030,第一季,13,红薯,55.0
A3,平旱地,2030,第一季,13,红薯,35.0
A4,平旱地,2030,第一季,13,红薯,72.0
A5,平旱地,2030,第一季,13,红薯,68.0
A6,平旱地,2030,第一季,13,红薯,55.0
B1,梯田,2030,第一季,13,红薯,60.0
B2,梯田,2030,第一季,13,红薯,46.0
B3,梯田,2030,第一季,13,红薯,40.0
B4,梯田,2030,第一季,13,红薯,28.0
B5,梯田,2030,第一季,13,红薯,25.0
B6,梯田,2030,第一季,13,红薯,86.0
B7,梯田,2030,第一季,13,红薯,55.0
B8,梯田,2030,第一季,13,红薯,44.0
B9,梯田,2030,第一季,13,红薯,50.0
B10,梯田,2030,第一季,13,红薯,25.0
B11,梯田,2030,第一季,13,红薯,60.0
B12,梯田,2030,第一季,13,红薯,45.0
B13,梯田,2030,第一季,13,红薯,35.0
B14,梯田,2030,第一季,13,红薯,20.0
C1,山坡地,2030,第一季,13,红薯,15.0
C2,山坡地,2030,第一季,13,红薯,13.0
C3,山坡地,2030,第一季,13,红薯,15.0
C4,山坡地,2030,第一季,13,红薯,18.0
C5,山坡地,2030,第一季,13,红薯,27.0
C6,山坡地,2030,第一季,13,红薯,20.0
